ID,NAME,RA,DEC,ra,dec,g,r, g-r,Opt_vel,C-c_dist,C-c/R200,delta_v,delta_v/vel_disp,Type_M,Type_H
Fuera de las imagenes,2MASX J04352517-1225414,68.85491,-12.42813,4 35 25.18,-12 25 41.27,-,-,-,9467,2.26,1.36,-417,-0.61,M,-
Fuera de las imagenes,2MASX J04345176-1221557,68.71563,-12.3655,4 34 51.75,-12 21 55.80,-,-,-,9498,2.27,1.36,-386,-0.56,M,-
Fuera de las imagenes,2MASX J04304508-1237380,67.68796,-12.62737,4 30 45.11,-12 37 38.53,-,-,-,9325,2.29,1.38,-559,-0.82,Sp,-
Fuera de las imagenes,2MASX J04313304-1227473,67.88775,-12.46308,4 31 33.06,-12 27 47.09,-,-,-,9326,2.28,1.37,-558,-0.81,M,-
Fuera de las imagenes,2MASX J04312035-1229232,67.83487,-12.48983,4 31 20.37,-12 29 23.39,-,-,-,9865,2.3,1.38,-19,-0.03,M,-
Fuera de las imagenes,APMUKS(BJ) B042907.94-123405.3,67.86657,-12.46191,4 31 27.98,-12 27 42.88,-,-,-,10462,2.31,1.38,578,0.84,M,-
Fuera de las imagenes,2MASX J04313161-1226552,67.88162,-12.44872,4 31 31.59,-12 26 55.39,-,-,-,8976,2.32,1.39,-908,-1.33,M,-
Fuera de las imagenes,2MASX J04354929-1403533,68.95546,-14.06483,4 35 49.31,-14 03 53.39,-,-,-,9834,2.32,1.39,-50,-0.07,M,-
Fuera de las imagenes,2MASX J04295136-1257212,67.46408,-12.95589,4 29 51.38,-12 57 21.20,-,-,-,9431,2.37,1.42,-453,-0.66,M,-
Fuera de las imagenes,ABELL 0496:[DFL99] 042,67.57867,-13.80354,4 30 18.88,-13 48 12.74,-,-,-,10220,2.37,1.42,336,0.49,M,-
Fuera de las imagenes,2MASX J04373534-1326092,69.39713,-13.43603,4 37 35.31,-13 26 09.71,-,-,-,10114,2.4,1.44,230,0.34,M,-
Fuera de las imagenes,ABELL 0496:[DFL99] 048,67.61154,-13.87395,4 30 26.77,-13 52 26.22,-,-,-,9661,2.4,1.44,-223,-0.33,M,-
Fuera de las imagenes,IC 0377,67.81892,-12.45508,4 31 16.54,-12 27 18.29,-,-,-,9224,2.39,1.43,-660,-0.96,M,-
Fuera de las imagenes,2MASX J04312403-1225432,67.85021,-12.42867,4 31 24.05,-12 25 43.21,-,-,-,9250,2.4,1.44,-634,-0.93,M,-
Fuera de las imagenes,APMUKS(BJ) B043502.10-134701.3,69.33582,-13.68411,4 37 20.6,-13 41 02.80,-,-,-,9971,2.44,1.46,87,0.13,M,-
Fuera de las imagenes,APMUKS(BJ) B042712.14-132448.4,67.38029,-13.30504,4 29 31.27,-13 18 18.14,-,-,-,10096,2.46,1.47,212,0.31,M,-
Fuera de las imagenes,ABELL 0496:[DFL99] 149,68.02604,-12.31914,4 32 06.25,-12 19 08.90,-,-,-,11032,2.43,1.46,1148,1.68,M,-
Fuera de las imagenes,IC 0376,67.80746,-12.43336,4 31 13.79,-12 26 00.10,-,-,-,9665,2.45,1.47,-219,-0.32,M,-
Fuera de las imagenes,2MASX J04294452-1253192,67.43546,-12.88878,4 29 44.51,-12 53 19.61,-,-,-,10430,2.49,1.49,546,0.8,M,-
Fuera de las imagenes,2MASX J04300197-1244032,67.50825,-12.73419,4 30 01.98,-12 44 03.08,-,-,-,9241,2.49,1.49,-643,-0.94,M,-
Fuera de las imagenes,2MASX J04313912-1220252,67.913,-12.34033,4 31 39.12,-12 20 25.19,-,-,-,10516,2.5,1.5,632,0.92,M,-
Fuera de las imagenes,APMUKS(BJ) B043422.47-140536.6,69.16927,-13.99316,4 36 40.62,-13 59 35.38,-,-,-,10671,2.52,1.51,787,1.15,M,-
Fuera de las imagenes,2MASX J04333798-1418480,68.40833,-14.31331,4 33 38.00,-14 18 47.92,-,-,-,9899,2.51,1.51,15,0.02,M,-
Fuera de las imagenes,2MASX J04315826-1214508,67.99275,-12.24742,4 31 58.26,-12 14 50.71,-,-,-,9826,2.62,1.57,-58,-0.08,M,-
Fuera de las imagenes,IC 0378,67.86633,-12.29976,4 31 27.92,-12 17 59.14,-,-,-,8870,2.64,1.58,-1014,-1.48,M,-
Fuera de las imagenes,LCSB S0747N,69.16108,-14.08147,4 36 38.66,-14 04 53.29,-,-,-,10350,2.66,1.6,466,0.68,M,-
Fuera de las imagenes,APMUKS(BJ) B042708.64-125528.3,67.36802,-12.81606,4 29 28.32,-12 48 57.82,-,-,-,9113,2.7,1.62,-771,-1.13,M,-
Fuera de las imagenes,APMUKS(BJ) B042809.83-123403.1,67.62455,-12.46021,4 30 29.89,-12 27 36.76,-,-,-,10511,2.68,1.61,627,0.92,M,-
Fuera de las imagenes,GALEXASC J043619.98-122211.0  ,69.08321,-12.36988,4 36 19.97,-12 22 11.57,-,-,-,9603,2.68,1.6,-281,-0.41,M,-
Fuera de las imagenes,ABELL 0496:[DFL99] 109,67.91742,-12.2554,4 31 40.18,-12 15 19.44,-,-,-,8826,2.68,1.6,-1058,-1.54,M,-
Fuera de las imagenes,2MASX J04293940-1242252,67.41404,-12.70708,4 29 39.37,-12 42 25.49,-,-,-,9820,2.72,1.63,-64,-0.09,M,-
Fuera de las imagenes,APMUKS(BJ) B042656.36-125926.6,67.31657,-12.88203,4 29 15.98,-12 52 55.31,-,-,-,9948,2.76,1.66,64,0.09,M,-
Fuera de las imagenes,2MASX J04303988-1223110,67.66617,-12.38653,4 30 39.88,-12 23 11.51,-,-,-,9890,2.74,1.64,6,0.01,M,-
Fuera de las imagenes,2MASX J04374357-1352082,69.43154,-13.86889,4 37 43.57,-13 52 08.00,-,-,-,10169,2.85,1.71,285,0.42,M,-
Fuera de las imagenes,2MASX J04294492-1358302,67.43706,-13.97491,4 29 44.89,-13 58 29.68,-,-,-,10235,2.88,1.73,351,0.51,M,-
Fuera de las imagenes,ABELL 0496:[DFL99] 133,67.96654,-12.14942,4 31 51.97,-12 08 57.91,-,-,-,9741,2.86,1.72,-143,-0.21,M,-
Fuera de las imagenes,MCG -02-12-030,67.44679,-12.50436,4 29 47.23,-12 30 15.70,-,-,-,9821,2.93,1.75,-63,-0.09,M,-
Fuera de las imagenes,2MASX J04323129-1205011,68.13038,-12.08358,4 32 31.29,-12 05 00.89,-,-,-,10047,2.89,1.74,163,0.24,M,-
Fuera de las imagenes,2MASX J04310561-1210312,67.77346,-12.17536,4 31 05.63,-12 10 31.30,-,-,-,10235,3.01,1.8,351,0.51,M,-
Fuera de las imagenes,APMUKS(BJ) B042858.29-121230.1,67.82807,-12.10195,4 31 18.74,-12 06 07.02,-,-,-,8634,3.1,1.86,-1250,-1.82,M,-
Fuera de las imagenes,MCG -02-12-028,67.28296,-12.57258,4 29 07.91,-12 34 21.29,-,-,-,9297,3.15,1.89,-587,-0.86,M,-
Fuera de las imagenes,2MASX J04305708-1208092,67.73785,-12.13589,4 30 57.08,-12 08 09.20,-,-,-,8828,3.13,1.88,-1056,-1.54,M,-
Fuera de las imagenes,2MASX J04303734-1210030,67.65563,-12.16753,4 30 37.35,-12 10 03.11,-,-,-,10945,3.18,1.9,1061,1.55,M,-
Fuera de las imagenes,2MASX J04294664-1412552,67.44437,-14.21533,4 29 46.65,-14 12 55.19,-,-,-,9530,3.24,1.94,-354,-0.52,M,-
Fuera de las imagenes,2MASX J04282117-1253284,67.08829,-12.89128,4 28 21.19,-12 53 28.61,-,-,-,9569,3.28,1.96,-315,-0.46,M,-
Fuera de las imagenes,2MASX J04385802-1336527,69.74157,-13.61468,4 38 57.98,-13 36 52.85,-,-,-,10023,3.3,1.98,139,0.2,M,-
Fuera de las imagenes,2MFGC 03697,68.11346,-11.94472,4 32 27.23,-11 56 40.99,-,-,-,10031,3.23,1.93,147,0.21,M,-
Fuera de las imagenes,2MASX J04391434-1330227,69.80975,-13.50628,4 39 14.34,-13 30 22.61,-,-,-,9762,3.4,2.04,-122,-0.18,M,-
Fuera de las imagenes,2MASX J04312933-1157397,67.87217,-11.96106,4 31 29.32,-11 57 39.82,-,-,-,8823,3.36,2.02,-1061,-1.55,M,-
Fuera de las imagenes,2MASX J04305695-1200572,67.73738,-12.01589,4 30 56.97,-12 00 57.20,-,-,-,8879,3.38,2.03,-1005,-1.47,M,-
Fuera de las imagenes,2MASX J04290485-1222531,67.27025,-12.38142,4 29 04.86,-12 22 53.11,-,-,-,9268,3.44,2.06,-616,-0.9,M,-
Fuera de las imagenes,2MASX J04390618-1348597,69.77587,-13.81658,4 39 06.21,-13 48 59.69,-,-,-,9990,3.53,2.12,106,0.15,M,-
Fuera de las imagenes,2MASX J04294481-1208392,67.43671,-12.14425,4 29 44.81,-12 08 39.30,-,-,-,9633,3.54,2.12,-251,-0.37,M,-
Fuera de las imagenes,2MASX J04394025-1315013,69.91779,-13.25033,4 39 40.27,-13 15 01.19,-,-,-,9149,3.61,2.16,-735,-1.07,M,-
Fuera de las imagenes,MCG -02-12-053,69.94317,-13.27289,4 39 46.36,-13 16 22.40,-,-,-,9175,3.67,2.2,-709,-1.04,M,-
Fuera de las imagenes,MCG -02-12-026,67.24885,-12.22477,4 28 59.72,-12 13 29.17,-,-,-,9352,3.72,2.23,-532,-0.78,M,-
Fuera de las imagenes,MCG -02-12-023,67.06833,-12.15467,4 28 16.4,-12 09 16.81,-,-,-,10042,4.16,2.49,158,0.23,M,-
Fuera de las imagenes,2MASX J04273282-1209367,66.88682,-12.16025,4 27 32.84,-12 09 36.90,-,-,-,10097,4.49,2.69,213,0.31,M,-
Fuera de las imagenes,2MASX J04273897-1143325,66.9124,-11.7257,4 27 38.98,-11 43 32.52,-,-,-,9842,5.13,3.07,-42,-0.06,M,-
