ID,NAME,RA,DEC,ra,dec,g,r, g-r,Opt_vel,C-c_dist,C-c/R200,delta_v,delta_v/vel_disp,Type_M,Type_H
,APMUKS(BJ) B043153.92-131843.5,68.5545,-13.20878,4 34 13.08, -13 12 31.61,19.377,18.723,0.655,10199,0.37,0.22,315,0.46,M,-
,2MASX J04330006-1315594,68.25021,-13.26658,4 33 0.05, -13 15 59.69,15.829,15.043,0.785,11035,0.38,0.23,1151,1.68,M,-
1504,2MASX J04331793-1307524,68.32475,-13.13117,4 33 17.94, -13 07 52.21,16.706,16.017,0.689,9169,0.37,0.22,-715,-1.04,M,-
,ABELL 0496:[CCD2008] A1,68.54883,-13.19172,4 34 11.72, -13 11 30.19,20.845,20.194,0.651,10491,0.38,0.23,607,0.89,M,-
,2MASX J04330896-1321504,68.28737,-13.36403,4 33 08.97, -13 21 50.51,16.929,16.177,0.752,10334,0.38,0.23,450,0.66,M,-
,ABELL 0496:[SDG99]-SRC 1914,68.56058,-13.2175,4 34 14.54, -13 13 03.00,20.328,19.7,0.628,10905,0.38,0.23,1021,1.49,M,-
,2MASX J04333578-1325260,68.39895,-13.42386,4 33 35.75, -13 25 25.90,16.259,15.489,0.77,8075,0.39,0.23,-1809,-2.64,M,-
,APMUKS(BJ) B043112.42-133135.5,68.38047,-13.42262,4 33 31.31, -13 25 21.43,17.371,16.607,0.764,9793,0.39,0.23,-91,-0.13,M,-
,LEDA 093388,68.24542,-13.30542,4 32 58.9, -13 18 19.51,17.819,17.149,0.671,10338,0.4,0.24,454,0.66,M,-
,APMUKS(BJ) B043129.32-131212.0,68.45246,-13.09953,4 33 48.59, -13 05 58.31,18.755,18.104,0.652,9777,0.4,0.24,-107,-0.16,M,-
,APMUKS(BJ) B043126.38-131156.0,68.44029,-13.09506,4 33 45.67, -13 05 42.22,18.557,17.905,0.652,9770,0.41,0.24,-114,-0.17,M,-
,GIN 190,68.54349,-13.36996,4 34 10.44, -13 22 11.86,15.495,14.659,0.835,10428,0.41,0.25,544,0.79,M,-
,APMUKS(BJ) B043153.78-131615.3,68.55417,-13.16764,4 34 13.0, -13 10 03.50,17.708,16.999,0.709,10836,0.42,0.25,952,1.39,M,-
,2MASX J04325787-1312174,68.24112,-13.20481,4 32 57.87, -13 12 17.32,17.205,16.941,0.264,10608,0.42,0.25,724,1.06,M,-
,APMUKS(BJ) B043123.75-131128.3,68.42933,-13.08725,4 33 43.04, -13 05 14.10,18.347,17.687,0.66,9642,0.42,0.25,-242,-0.35,M,-
,APMUKS(BJ) B043139.75-131239.7,68.49596,-13.10742,4 33 59.03, -13 06 26.71,18.377,17.749,0.628,10422,0.43,0.26,538,0.79,M,-
,2MASX J04334860-1326030,68.4525,-13.43417,4 33 48.6, -13 26 03.01,17.712,16.994,0.718,10657,0.43,0.26,773,1.13,M,-
,APMUKS(BJ) B043049.71-133002.1,68.28621,-13.396,4 33 08.69, -13 23 45.60,17.537,16.83,0.706,10708,0.43,0.26,824,1.2,M,-
,APMUKS(BJ) B043129.78-131133.9,68.4545,-13.08903,4 33 49.08, -13 05 20.51,17.901,17.222,0.678,9741,0.43,0.26,-143,-0.21,M,-
1360,2MASX J04325458-1318074,68.22742,-13.30206,4 32 54.58, -13 18 07.42,16.415,15.712,0.703,9285,0.44,0.26,-599,-0.87,M,-
,2MASX J04325471-1318554,68.228,-13.31536,4 32 54.72, -13 18 55.30,17.234,16.634,0.6,9336,0.45,0.27,-548,-0.8,M,-
,APMUKS(BJ) B043203.00-132422.5,68.5917,-13.30329,4 34 22.01, -13 18 11.84,18.898,18.577,0.321,10830,0.45,0.27,946,1.38,M,-
,APMUKS(BJ) B043151.32-131408.7,68.54417,-13.13242,4 34 10.6, -13 07 56.71,19.146,18.523,0.623,8467,0.45,0.27,-1417,-2.07,M,-
[SDG99]-SRC 1967,APMUKS(BJ) B043204.86-132142.1,68.59966,-13.25877,4 34 23.92, -13 15 31.57,18.156,17.768,0.388,9480,0.46,0.28,-404,-0.59,M,-
no aper,APMUKS(BJ) B043110.19-133303.3,68.37107,-13.44697,4 33 29.06, -13 26 49.09,-,-,-,9159,0.45,0.27,-725,-1.06,M,-
1520,2MASX J04332020-1326224,68.33417,-13.4395,4 33 20.2, -13 26 22.20,16.585,15.85,0.735,9937,0.46,0.28,53,0.08,Sp,-
,APMUKS(BJ) B043109.47-133334.9,68.36803,-13.45573,4 33 28.33, -13 27 20.63,18.518,17.786,0.732,10134,0.47,0.28,250,0.36,M,-
,APMUKS(BJ) B043202.38-132726.7,68.58887,-13.35445,4 34 21.33, -13 21 16.02,17.929,17.206,0.723,9412,0.49,0.29,-472,-0.69,M,-
,APMUKS(BJ) B043030.50-131946.3,68.20682,-13.22483,4 32 49.64, -13 13 29.39,19.0066,18.3841,0.622,9621,0.49,0.29,-263,-0.38,M,-
,ABELL 0496:[SDG99]-SRC 1566,68.35642,-13.06889,4 33 25.54, -13 04 08.00,19.871,19.281,0.591,11093,0.48,0.29,1209,1.76,M,-
,APMUKS(BJ) B043030.00-132401.4,68.2044,-13.29569,4 32 49.06, -13 17 44.48,17.418,16.746,0.671,10423,0.49,0.3,539,0.79,M,-
,APMUKS(BJ) B043122.03-133419.4,68.42028,-13.46833,4 33 40.87, -13 28 05.99,19.257,18.539,0.719,8914,0.49,0.3,-970,-1.42,M,-
,LEDA 093404,68.36667,-13.46583,4 33 28.00, -13 27 56.99,18.544,17.834,0.71,10632,0.5,0.3,748,1.09,M,-
,2MASX J04333872-1303120,68.41138,-13.05336,4 33 38.73, -13 03 12.10,16.027,15.306,0.722,10133,0.5,0.3,249,0.36,M,-
,APMUKS(BJ) B043052.72-131105.1,68.30033,-13.08036,4 33 12.08,-13 04 49.30,19.338,18.705,0.633,9194,0.5,0.3,-690,-1.01,M,-
,2MASX J04331629-1304044,68.31788,-13.06789,4 33 16.29,-13 04 04.40,16.354,15.607,0.748,9434,0.51,0.31,-450,-0.66,M,-
,2MASX J04325293-1322334,68.22054,-13.37597,4 32 52.93,-13 22 33.49,15.65,14.859,0.791,9594,0.52,0.31,-290,-0.42,M,-
,GIN 192,68.48771,-13.46269,4 33 57.05,-13 27 45.68,15.556,14.747,0.809,9705,0.52,0.31,-179,-0.26,M,-
,APMUKS(BJ) B043148.39-133247.8,68.53018,-13.44338,4 34 07.24,-13 26 36.17,18.509,17.786,0.723,11067,0.52,0.31,1183,1.73,M,-
,APMUKS(BJ) B043156.25-133116.4,68.56304,-13.41814,4 34 15.13,-13 25 05.30,18.416,17.676,0.74,10323,0.53,0.32,439,0.64,M,-
,2MASX J04332033-1303144,68.33479,-13.05414,4 33 20.35,-13 03 14.90,17.033,16.346,0.687,8768,0.53,0.32,-1116,-1.63,M,-
,APMUKS(BJ) B043159.96-133034.4,68.57855,-13.40654,4 34 18.85,-13 24 23.54,18.489,17.812,0.677,10417,0.54,0.32,533,0.78,M,-
,2MASX J04331547-1327474,68.31446,-13.46317,4 33 15.47,-13 27 47.41,16.123,15.293,0.83,9750,0.53,0.32,-134,-0.2,M,-
[SDG99]-SRC 1354,2MASX J04325423-1323504,68.22592,-13.39736,4 32 54.22,-13 23 50.50,17.16,16.66,0.5,9932,0.54,0.32,48,0.07,S,H
,2MASX J04331129-1303544,68.29704,-13.06517,4 33 11.29,-13 03 54.61,15.637,14.899,0.738,8426,0.54,0.32,-1458,-2.13,M,-
[SDG99]-SRC 1474,APMUKS(BJ) B043054.82-133411.5,68.30696,-13.46562,4 33 13.67,-13 27 56.23,18.945,18.544,0.4,10159,0.54,0.33,275,0.4,M,-
,2MASX J04324477-1311261,68.18654,-13.19056,4 32 44.77,-13 11 26.02,16.033,15.283,0.75,9688,0.56,0.33,-196,-0.29,M,-
,2MASX J04340384-1327479,68.516,-13.46331,4 34 03.84,-13 27 47.92,16.355,15.591,0.764,8274,0.55,0.33,-1610,-2.35,M,-
[SDG99]-SRC 1461,APMUKS(BJ) B043052.53-133417.1,68.29742,-13.46713,4 33 11.38,-13 28 01.67,18.138,17.682,0.456,10670,0.56,0.33,786,1.15,M,-
,2MASX J04333694-1301010,68.40387,-13.01689,4 33 36.93,-13 01 00.80,16.69,16.022,0.668,9524,0.59,0.35,-360,-0.53,M,-
1443,2MASX J04330883-1302354,68.28687,-13.04322,4 33 08.85,-13 02 35.59,17.178,16.503,0.676,10197,0.6,0.36,313,0.46,Sp,-
,2MASX J04343575-1321187,68.64892,-13.35531,4 34 35.74,-13 21 19.12,17.087,16.352,0.735,10097,0.62,0.37,213,0.31,M,-
,APMUKS(BJ) B043102.83-130704.3,68.34247,-13.01378,4 33 22.19,-13 00 49.61,19.019,18.386,0.633,9895,0.61,0.37,11,0.02,M,-
,2MASX J04323635-1311561,68.1515,-13.19894,4 32 36.36,-13 11 56.18,15.672,14.982,0.69,8878,0.63,0.38,-1006,-1.47,M,-
,APMUKS(BJ) B043018.04-131720.9,68.15512,-13.18421,4 32 37.23,-13 11 03.16,18.661,18.061,0.6,9232,0.63,0.38,-652,-0.95,M,-
,2MASX J04332563-1330560,68.35679,-13.51553,4 33 25.63,-13 30 55.91,16.441,15.645,0.796,9910,0.62,0.37,26,0.04,M,-
[SDG99]-SRC 1549,2MASX J04332373-1330550,68.34949,-13.51748,4 33 23.88,-13 31 02.93,16.739,16.132,0.607,10228,0.63,0.38,344,0.5,S,H
,2MASX J04331869-1330474,68.32792,-13.51314,4 33 18.7,-13 30 47.30,15.791,14.982,0.81,9616,0.63,0.38,-268,-0.39,M,-
,APMUKS(BJ) B043118.06-130610.6,68.40597,-12.99915,4 33 37.43,-12 59 56.94,16.38,15.654,0.726,9166,0.63,0.38,-718,-1.05,M,-
,2MASX J04333866-1331360,68.411,-13.52664,4 33 38.64,-13 31 35.90,17.112,16.304,0.808,9976,0.63,0.38,92,0.13,M,-
estrella,LEDA 138740,68.43688,-12.9947,4 33 44.85,-12 59 40.92,15.99,14.92,1.07,9427,0.64,0.39,-457,-0.67,M,-
,APMUKS(BJ) B043130.75-130559.3,68.45904,-12.99594,4 33 50.17,-12 59 45.38,19.729,19.131,0.597,10377,0.65,0.39,493,0.72,M,-
,APMUKS(BJ) B043123.63-130538.5,68.42933,-12.99011,4 33 43.04,-12 59 24.40,19.528,18.898,0.63,10223,0.65,0.39,339,0.49,M,-
,2MASX J04323156-1312251,68.1315,-13.20703,4 32 31.56,-13 12 25.31,15.923,15.2,0.723,9127,0.67,0.4,-757,-1.11,M,-
,ABELL 0496:[CZ2003]A1294[014] ,68.12404,-13.29064,4 32 29.77,-13 17 26.30,19.073,18.534,0.539,9551,0.68,0.41,-333,-0.49,M,-
[SDG99]-SRC 1338,APMUKS(BJ) B043031.79-130923.8,68.21301,-13.05194,4 32 51.12,-13 03 06.98,18.92,18.635,0.285,10474,0.68,0.41,590,0.86,M,-
,APMUKS(BJ) B043136.80-130526.3,68.48408,-12.98697,4 33 56.18,-12 59 13.09,17.883,17.342,0.541,11253,0.68,0.41,1369,2,M,-
,2MASX J04335082-1332359,68.46167,-13.54331,4 33 50.8,-13 32 35.92,17.787,17.013,0.773,9086,0.69,0.41,-798,-1.16,M,-
,2MASX J04322717-1315581,68.11335,-13.26595,4 32 27.2,-13 15 57.42,15.564,14.842,0.722,9773,0.7,0.42,-111,-0.16,M,-
,APMUKS(BJ) B043109.56-133904.5,68.36796,-13.54729,4 33 28.31,-13 32 50.24,19.268,18.524,0.745,9911,0.69,0.41,27,0.04,M,-
[DFL99] 225,2MASX J04331731-1259004,68.3225,-12.9836,4 33 17.4,-12 59 00.96,15.606,14.905,0.701,10826,0.7,0.42,942,1.38,Sp,Habn
,2MASX J04333640-1258020,68.40167,-12.96728,4 33 36.4,-12 58 02.21,15.882,15.145,0.737,9243,0.7,0.42,-641,-0.94,M,-
,2MASX J04331876-1332584,68.32812,-13.54958,4 33 18.75,-13 32 58.49,15.995,15.178,0.817,9537,0.71,0.43,-347,-0.51,M,-
,AGC 440541,68.51214,-12.98263,4 34 2.91,-12 58 57.47,17.469,16.812,0.657,11138,0.71,0.43,1254,1.83,M,-
,APMUKS(BJ) B043036.72-130715.1,68.23371,-13.01629,4 32 56.09,-13 00 58.64,17.488,17.499,-0.011,8553,0.72,0.43,-1331,-1.94,M,-
,APMUKS(BJ) B043230.82-131730.1,68.70811,-13.18926,4 34 49.95,-13 11 21.34,17.692,17.05,0.642,9374,0.74,0.44,-510,-0.74,M,-
[SDG99]-SRC 1709,APMUKS(BJ) B043125.95-134003.1,68.43615,-13.56387,4 33 44.68,-13 33 49.93,17.073,16.543,0.53,9779,0.73,0.43,-105,-0.15,S,H
[SDG99]-SRC 1275,APMUKS(BJ) B043022.47-130938.5,68.17418,-13.05585,4 32 41.8,-13 03 21.06,19.101,18.781,0.32,10608,0.74,0.45,724,1.06,M,-
[SDG99]-SRC 1512,APMUKS(BJ) B043100.87-133953.7,68.33171,-13.56079,4 33 19.61,-13 33 38.84,19.197,18.866,0.331,10268,0.74,0.44,384,0.56,M,-
,2MASX J04322915-1323361,68.12147,-13.39328,4 32 29.15,-13 23 35.81,15.849,15.077,0.773,10434,0.75,0.45,550,0.8,M,-
[SDG99]-SRC 1179,APMUKS(BJ) B043002.68-132207.2,68.09077,-13.26345,4 32 21.78,-13 15 48.42,17.548,17.2,0.348,10057,0.76,0.45,173,0.25,S,H
,APMUKS(BJ) B043117.06-130310.4,68.40205,-12.94907,4 33 36.49,-12 56 56.65,18.143,17.461,0.682,10034,0.75,0.45,150,0.22,M,-
,APMUKS(BJ) B043017.35-133330.1,68.15096,-13.45342,4 32 36.23,-13 27 12.31,18.928,18.234,0.695,9006,0.77,0.46,-878,-1.28,M,-
[SDG99]-SRC 1169,2MASX J04322039-1314108,68.08487,-13.23639,4 32 20.37,-13 14 11.00,16.394,16.01,0.384,8990,0.77,0.46,-894,-1.31,S,H
,APMUKS(BJ) B043201.56-130542.9,68.58718,-12.99227,4 34 20.92,-12 59 32.17,17.459,16.808,0.651,8779,0.77,0.46,-1105,-1.61,M,-
,2MASX J04344444-1305087,68.68517,-13.08578,4 34 44.44,-13 05 08.81,17.675,17,0.675,10122,0.79,0.47,238,0.35,M,-
2150,2MASX J04345581-1311277,68.73244,-13.19103,4 34 55.79,-13 11 27.71,16.046,15.327,0.72,9374,0.79,0.48,-510,-0.74,M,-
,APMUKS(BJ) B043109.10-130237.1,68.36894,-12.93967,4 33 28.55,-12 56 22.81,17.681,17.04,0.641,9796,0.78,0.47,-88,-0.13,M,-
,2MASX J04322170-1309011,68.09042,-13.15033,4 32 21.7,-13 09 01.19,16.765,16.069,0.696,9345,0.8,0.48,-539,-0.79,M,-
Hay que checar los valores  ya que no es la galaxias [SDG99]-SRC 1363 como se pensaba erroneamente ,2MASX J04325446-1258524,68.22696,-12.98125,4 32 54.47,-12 58 52.50,-,-,-,9208,0.8,0.48,-676,-0.99,M,-
,APMUKS(BJ) B043121.85-130159.7,68.42209,-12.92952,4 33 41.3,-12 55 46.27,17.767,17.119,0.648,9330,0.8,0.48,-554,-0.81,M,-
,2MASX J04344863-1325517,68.70258,-13.43097,4 34 48.62,-13 25 51.49,17.483,16.732,0.751,10161,0.81,0.49,277,0.4,M,-
[SDG99]-SRC 1656,APMUKS(BJ) B043119.79-134159.9,68.41034,-13.5962,4 33 38.48,-13 35 46.32,16.98,16.584,0.396,11194,0.8,0.48,1310,1.91,S,Hnotall
,APMUKS(BJ) B043150.59-134032.7,68.53873,-13.57256,4 34 9.3,-13 34 21.22,18.296,17.713,0.583,10294,0.81,0.48,410,0.6,M,-
no aper,APMUKS(BJ) B043134.35-130151.1,68.47416,-12.92737,4 33 53.8,-12 55 38.53,-,-,-,8390,0.82,0.49,-1494,-2.18,M,-
,APMUKS(BJ) B042956.58-132648.5,68.06499,-13.34148,4 32 15.6,-13 20 29.33,19.135,18.461,0.675,9536,0.84,0.5,-348,-0.51,M,-
,2MASX J04344671-1329047,68.69461,-13.48462,4 34 46.71,-13 29 04.63,15.365,14.484,0.882,9961,0.87,0.52,77,0.11,M,-
,2MFGC 03707,68.27738,-13.59925,4 33 06.57,-13 35 57.30,15.433,14.598,0.836,9938,0.86,0.52,54,0.08,M,-
,2MASX J04321574-1324028,68.06567,-13.40081,4 32 15.76,-13 24 02.92,15.653,14.885,0.768,8890,0.88,0.53,-994,-1.45,M,-
2210,APMUKS(BJ) B043246.68-131701.3,68.77477,-13.18159,4 35 05.94,-13 10 53.72,16.861,16.421,0.44,10230,0.9,0.54,346,0.51,S,-
2226,2MASX J04350827-1317417,68.78446,-13.29489,4 35 08.27,-13 17 41.60,16.852,16.062,0.79,9428,0.9,0.54,-456,-0.67,M,-
,2MASX J04342148-1335087,68.5895,-13.58575,4 34 21.48,-13 35 08.70,17.199,16.36,0.839,9393,0.89,0.53,-491,-0.72,M,-
,2MASX J04350868-1318367,68.78621,-13.31014,4 35 08.69,-13 18 36.50,15.831,14.994,0.837,10350,0.91,0.55,466,0.68,M,-
,2MASX J04321156-1307568,68.04812,-13.13244,4 32 11.55,-13 07 56.78,16.654,16.083,0.572,10871,0.91,0.55,987,1.44,M,-
,APMUKS(BJ) B043041.14-130114.2,68.2526,-12.91612,4 33 00.62,-12 54 58.03,18.211,17.853,0.358,10495,0.91,0.54,611,0.89,M,-
2253,MCG -02-12-043,68.79621,-13.24436,4 35 11.09,-13 14 39.70,15.269,14.494,0.775,10575,0.93,0.56,691,1.01,Sp,-
,2MASX J04330916-1337214,68.28825,-13.62272,4 33 09.18,-13 37 21.79,16.961,16.174,0.787,8827,0.91,0.54,-1057,-1.54,M,-
,APMUKS(BJ) B043222.53-133839.0,68.6719,-13.54158,4 34 41.26,-13 32 29.69,18.096,17.309,0.788,10937,0.92,0.55,1053,1.54,M,-
,APMUKS(BJ) B043218.34-130409.8,68.65719,-12.96673,4 34 37.73,-12 58 00.23,18.93,18.306,0.624,9661,0.92,0.55,-223,-0.33,M,-
,GIN 193,68.77889,-13.39427,4 35 06.93,-13 23 39.37,15.854,14.996,0.858,9405,0.94,0.56,-479,-0.7,M,-
[DFL99] 198,2MASX J04325613-1336384,68.23392,-13.61069,4 32 56.14,-13 36 38.48,15.653,14.914,0.738,11349,0.93,0.56,1465,2.14,Sp,Habn
1065,2MASX J04320485-1310198,68.02025,-13.17214,4 32 04.86,-13 10 19.70,16.031,15.242,0.789,10996,0.95,0.57,1112,1.62,M,-
,2MASX J04325071-1254351,68.21119,-12.91,4 32 50.69,-12 54 36.00,15.415,14.652,0.763,10613,0.96,0.58,729,1.06,M,-
,APMUKS(BJ) B043246.35-133315.1,68.77154,-13.45205,4 35 05.17,-13 27 07.38,19.301,18.573,0.728,10609,0.98,0.59,725,1.06,M,-
,2MASX J04315793-1316148,67.99142,-13.27086,4 31 57.94,-13 16 15.10,16.082,15.363,0.719,9131,1,0.6,-753,-1.1,M,-
,APMUKS(BJ) B043139.08-134601.0,68.49036,-13.66353,4 33 57.69,-13 39 48.71,17.974,17.082,0.892,9265,0.98,0.59,-619,-0.9,M,-
1080,2MASX J04320656-1304588,68.02742,-13.08306,4 32 06.58,-13 04 59.02,17.116,16.354,0.762,10840,1,0.6,956,1.4,Sp,-
,2MASX J04350566-1328147,68.77358,-13.47069,4 35 05.66,-13 28 14.48,16.439,15.619,0.82,9720,1.01,0.6,-164,-0.24,M,-
,APMUKS(BJ) B043111.68-125706.1,68.38012,-12.84778,4 33 31.23,-12 50 52.01,19.017,18.764,0.253,11357,0.99,0.6,1473,2.15,M,-
[SDG99]-SRC 1860,APMUKS(BJ) B043147.74-134555.7,68.52643,-13.66222,4 34 06.34,-13 39 43.99,19.405,18.931,0.474,11267,1,0.6,1383,2.02,M,Hnotall
,2MASX J04344823-1334017,68.70092,-13.56706,4 34 48.22,-13 34 01.42,16.479,15.623,0.856,10802,1.01,0.61,918,1.34,M,-
,APMUKS(BJ) B043257.52-132915.2,68.81838,-13.38562,4 35 16.41,-13 23 08.23,18.381,17.846,0.534,10455,1.03,0.61,571,0.83,M,-
,APMUKS(BJ) B042942.23-131241.3,68.00629,-13.106,4 32 01.51,-13 06 21.60,16.52,15.888,0.632,9571,1.03,0.62,-313,-0.46,M,-
,2MASX J04340981-1251419,68.54096,-12.86164,4 34 09.83,-12 51 41.90,17.42,16.877,0.543,11417,1.01,0.6,1533,2.24,M,-
,APMUKS(BJ) B042936.26-131725.7,67.9811,-13.18476,4 31 55.46,-13 11 05.14,19.006,18.348,0.658,9490,1.04,0.62,-394,-0.58,M,-
[SDG99]-SRC 1584,APMUKS(BJ) B043110.42-134728.9,68.37088,-13.68741,4 33 29.01,-13 41 14.68,20.398,20.17,0.228,9443,1.02,0.61,-441,-0.64,M,-
[SDG99]-SRC 1565,2MASX J04332542-1341090,68.35596,-13.68586,4 33 25.43,-13 41 09.10,16.751,16.22,0.532,10866,1.02,0.61,982,1.43,S,Habn
,GALEXASC J043412.96-125119.7  ,68.55393,-12.85573,4 34 12.94,-12 51 20.63,18.522,18.199,0.323,11497,1.03,0.62,1613,2.35,M,-
,APMUKS(BJ) B043308.10-132350.2,68.86287,-13.29555,4 35 27.09,-13 17 43.98,19.59,19.214,0.375,9893,1.09,0.65,9,0.01,M,-
[SDG99]-SRC 989,APMUKS(BJ) B042932.58-131403.3,67.96604,-13.12847,4 31 51.85,-13 07 42.49,18.963,18.717,0.246,10006,1.1,0.66,122,0.18,M,-
[SDG99]-SRC 1054,2MASX J04320278-1329478,68.01162,-13.49672,4 32 02.79,-13 29 48.19,16.728,16.268,0.46,10289,1.1,0.66,405,0.59,S,Habn
,2MASX J04314954-1309052,67.95646,-13.15153,4 31 49.55,-13 09 05.51,17.273,16.586,0.687,9337,1.11,0.67,-547,-0.8,M,-
,APMUKS(BJ) B043220.30-134452.1,68.66212,-13.64517,4 34 38.91,-13 38 42.61,18.288,17.437,0.85,10785,1.1,0.66,901,1.32,M,-
no aper,GALEXASC J043509.54-125933.6  ,68.7894,-12.9925,4 35 09.46,-12 59 33.00,-,-,-,10282,1.12,0.67,398,0.58,M,-
[SDG99]-SRC 1849,GALEXASC J043404.14-124851.2  ,68.51714,-12.81437,4 34 04.11,-12 48 51.73,18.557,18.229,0.328,9002,1.1,0.66,-882,-1.29,M,-
,2MASX J04314592-1322282,67.94137,-13.37444,4 31 45.93,-13 22 27.98,16.621,15.923,0.697,9587,1.15,0.69,-297,-0.43,M,-
[SDG99]-SRC 1386,2MASX J04325976-1342324,68.24904,-13.70906,4 32 59.77,-13 42 32.62,16.95,16.18,0.77,10557,1.13,0.68,673,0.98,Sp,Habn
,ABELL 0496:[DFL99] 184,68.20496,-12.82719,4 32 49.19,-12 49 37.88,20.416,19.788,0.628,9774,1.15,0.69,-110,-0.16,M,-
[SDG99]-SRC 1747,APMUKS(BJ) B043132.39-135030.3,68.46214,-13.73821,4 33 50.91,-13 44 17.56,18.622,18.24,0.382,11037,1.15,0.69,1153,1.68,M,Hnotall
,2MASX J04341619-1343009,68.56742,-13.71694,4 34 16.18,-13 43 00.98,16.876,15.986,0.89,10947,1.15,0.69,1063,1.55,M,-
[SDG99]-SRC 926,2MASX J04314310-1307102,67.9295,-13.11956,4 31 43.08,-13 07 10.42,17.079,16.465,0.614,11106,1.19,0.72,1222,1.78,S,Hnotall
,2MASX J04353822-1313234,68.90921,-13.22317,4 35 38.21,-13 13 23.41,16.906,16.163,0.744,10307,1.2,0.72,423,0.62,M,-
,2MASX J04341972-1247579,68.58213,-12.79948,4 34 19.71,-12 47 58.13,15.607,14.861,0.745,9808,1.18,0.71,-76,-0.11,M,-
no aper,ABELL 0496:[CZ2003]B0993[057] ,68.81029,-12.96217,4 35 14.47,-12 57 43.81,-,-,-,9149,1.2,0.72,-735,-1.07,M,-
[SDG99]-SRC 903,APMUKS(BJ) B042921.08-131332.3,67.91819,-13.11965,4 31 40.37,-13 07 10.74,17.475,17.026,0.449,10904,1.22,0.73,1020,1.49,S,Hnotall
,APMUKS(BJ) B043228.81-125712.5,68.70135,-12.85101,4 34 48.32,-12 51 03.64,18.596,18.214,0.381,9009,1.21,0.72,-875,-1.28,M,-
2193,2MASX J04350301-1253517,68.76246,-12.89761,4 35 02.99,-12 53 51.40,15.903,15.146,0.757,9591,1.22,0.73,-293,-0.43,M,-
2384,2MASX J04353342-1326554,68.88925,-13.44869,4 35 33.42,-13 26 55.28,17.046,16.158,0.888,10406,1.24,0.74,522,0.76,M,-
[SDG99]-SRC 853,APMUKS(BJ) B042912.85-132056.0,67.88333,-13.24274,4 31 32.00,-13 14 33.86,-,-,-,9208,1.25,0.75,-676,-0.99,S,H
[SDG99]-SRC 3760,MCG -02-12-037,68.23675,-12.77814,4 32 56.82,-12 46 41.30,15.233,14.457,0.776,10602,1.23,0.74,718,1.05,Sp,Habn
,APMUKS(BJ) B043049.22-135209.5,68.28221,-13.76496,4 33 07.73,-13 45 53.86,19.671,19.051,0.619,9481,1.24,0.74,-403,-0.59,M,-
2195,2MASX J04350367-1339197,68.76529,-13.65556,4 35 03.67,-13 39 20.02,16.973,16.073,0.9,9577,1.27,0.76,-307,-0.45,Sp,-
star??,APMUKS(BJ) B043124.79-125016.9,68.43526,-12.73436,4 33 44.46,-12 44 03.70,-,-,-,9704,1.26,0.76,-180,-0.26,M,-
Fuera de imagenes,APMUKS(BJ) B043134.70-135341.8,68.4715,-13.79145,4 33 53.16,-13 47 29.22,-,-,-,9689,1.28,0.76,-195,-0.28,M,-
,APMUKS(BJ) B043311.17-133842.9,68.87447,-13.54357,4 35 29.87,-13 32 36.85,18.737,17.886,0.851,10320,1.3,0.78,436,0.64,M,-
Fuera de imagenes,2MFGC 03702,68.22358,-13.77564,4 32 53.66,-13 46 32.30,-,-,-,9912,1.3,0.78,28,0.04,M,-
[SDG99]-SRC 2485,2MASX J04355202-1319472,68.96683,-13.32975,4 35 52.04,-13 19 47.10,16.102,15.26,0.842,10301,1.35,0.81,417,0.61,Sp,Habn
2374,NGC 1623,68.88504,-13.55644,4 35 32.41,-13 33 23.18,16.458,15.501,0.957,10121,1.34,0.8,237,0.35,Sp,-
no aper,LEDA 093382,68.17167,-12.755,4 32 41.2,-12 45 18.00,-,-,-,10683,1.34,0.8,799,1.17,M,-
[SDG99]-SRC 2036,GALEXASC J043436.89-124529.8  ,68.65327,-12.75837,4 34 36.78,-12 45 30.13,19.085,19.024,0.061,9936,1.34,0.8,52,0.08,M,-
no aper,2MASX J04314850-1255182,67.95204,-12.92181,4 31 48.49,-12 55 18.52,-,-,-,10164,1.36,0.82,280,0.41,M,-
[SDG99]-SRC 1399,2MFGC 03705,68.25833,-12.71675,4 33 02.00,-12 43 00.30,-,-,-,9361,1.35,0.81,-523,-0.76,S,H
[SDG99]-SRC 2516,APMUKS(BJ) B043337.75-132553.6,68.9862,-13.33038,4 35 56.69,-13 19 49.37,18.698,18.4,0.298,10609,1.39,0.84,725,1.06,M,-
1193,2MASX J04322397-1246481,68.09983,-12.78003,4 32 23.96,-12 46 48.11,15.888,15.123,0.765,10140,1.37,0.82,256,0.37,Sp,-
,2MASX J04353322-1255414,68.88833,-12.92819,4 35 33.2,-12 55 41.48,17.182,16.689,0.493,11293,1.4,0.84,1409,2.06,M,-
[SDG99]-SRC 2534,2MASX J04355949-1318072,68.99796,-13.302,4 35 59.51,-13 18 07.20,16.057,15.196,0.861,10188,1.41,0.85,304,0.44,Sp,Habn
799,2MASX J04312373-1304132,67.84883,-13.07039,4 31 23.72,-13 04 13.40,-,-,-,9587,1.41,0.85,-297,-0.43,S,-
Fuera de las imagenes,APMUKS(BJ) B043149.58-135549.5,68.5333,-13.8272,4 34 07.99,-13 49 37.92,-,-,-,9983,1.38,0.83,99,0.14,M,-
Fuera de las imagenes,APMUKS(BJ) B043149.58-135549.5,68.53341,-13.82705,4 34 08.02,-13 49 37.38,-,-,-,9983,1.38,0.83,99,0.14,M,-
